2497.0, 2825.0, 65.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0021.JPG, 05-09 19:38:52, 0, Auto
2351.0, 2803.0, 79.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0021.JPG, 05-09 19:38:52, 1, Auto
2497.0, 2824.0, 65.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0022.JPG, 05-09 19:39:22, 0, Auto
2349.0, 2802.0, 81.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0022.JPG, 05-09 19:39:22, 1, Auto
2497.0, 2823.0, 66.0, 61.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0023.JPG, 05-09 19:39:52, 0, Auto
2353.0, 2804.0, 78.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0023.JPG, 05-09 19:39:52, 1, Auto
2497.0, 2824.0, 66.0, 61.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0024.JPG, 05-09 19:40:22, 0, Auto
2350.0, 2803.0, 79.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0024.JPG, 05-09 19:40:22, 1, Auto
2497.0, 2823.0, 67.0, 62.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0025.JPG, 05-09 19:40:52, 0, Auto
2352.0, 2803.0, 78.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0025.JPG, 05-09 19:40:52, 1, Auto
2497.0, 2821.0, 66.0, 61.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0026.JPG, 05-09 19:41:22, 0, Auto
2353.0, 2803.0, 78.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0026.JPG, 05-09 19:41:22, 1, Auto
2497.0, 2820.0, 67.0, 62.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0027.JPG, 05-09 19:41:52, 0, Auto
2359.0, 2799.0, 78.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0027.JPG, 05-09 19:41:52, 1, Auto
2498.0, 2819.0, 66.0, 61.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0028.JPG, 05-09 19:42:22, 0, Auto
2358.0, 2799.0, 78.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0028.JPG, 05-09 19:42:22, 1, Auto
2498.0, 2820.0, 65.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0029.JPG, 05-09 19:42:52, 0, Auto
2360.0, 2800.0, 76.0, 56.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0029.JPG, 05-09 19:42:52, 1, Auto
