2128, 1578, 39, 50, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7025.JPG, 23-03 10:55:34, 0, Start 
1765.0, 1478.0, 37.0, 48.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7044.JPG, 23-03 11:05:04, 0, Auto
1640.0, 1514.0, 43.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7044.JPG, 23-03 11:05:04, 1, Auto
1745.0, 1466.0, 37.0, 48.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7045.JPG, 23-03 11:05:34, 0, Auto
1619.0, 1502.0, 43.0, 60.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7045.JPG, 23-03 11:05:34, 1, Auto
1725.0, 1455.0, 38.0, 49.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7046.JPG, 23-03 11:06:04, 0, Auto
1596.0, 1493.0, 43.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7046.JPG, 23-03 11:06:04, 1, Auto
1705.0, 1445.0, 38.0, 49.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7047.JPG, 23-03 11:06:34, 0, Auto
1577.0, 1483.0, 42.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7047.JPG, 23-03 11:06:34, 1, Auto
1689.0, 1436.0, 38.0, 49.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7048.JPG, 23-03 11:07:04, 0, Auto
1556.0, 1474.0, 42.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7048.JPG, 23-03 11:07:04, 1, Auto
1670.0, 1427.0, 38.0, 49.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7049.JPG, 23-03 11:07:34, 0, Auto
1535.0, 1465.0, 41.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7049.JPG, 23-03 11:07:34, 1, Auto
1651.0, 1418.0, 38.0, 49.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7050.JPG, 23-03 11:08:04, 0, Auto
1515.0, 1456.0, 41.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7050.JPG, 23-03 11:08:04, 1, Auto
1633.0, 1409.0, 38.0, 49.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7051.JPG, 23-03 11:08:34, 0, Auto
