967.0, 474.0, 44.0, 105.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7949_CROPED.JPG, path time not found, 0, Auto
778.0, 512.0, 59.0, 107.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7949_CROPED.JPG, path time not found, 1, Auto
967.0, 473.0, 45.0, 109.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7950_CROPED.JPG, path time not found, 0, Auto
780.0, 512.0, 58.0, 105.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7950_CROPED.JPG, path time not found, 1, Auto
967.0, 471.0, 47.0, 114.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7951_CROPED.JPG, path time not found, 0, Auto
780.0, 513.0, 57.0, 103.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7951_CROPED.JPG, path time not found, 1, Auto
968.0, 472.0, 47.0, 114.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7952_CROPED.JPG, path time not found, 0, Auto
781.0, 515.0, 55.0, 99.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7952_CROPED.JPG, path time not found, 1, Auto
969.0, 471.0, 47.0, 114.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7953_CROPED.JPG, path time not found, 0, Auto
779.0, 515.0, 57.0, 103.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7953_CROPED.JPG, path time not found, 1, Auto
964.0, 478.0, 48.0, 116.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7954_CROPED.JPG, path time not found, 0, Auto
781.0, 514.0, 56.0, 101.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7954_CROPED.JPG, path time not found, 1, Auto
963.0, 478.0, 49.0, 118.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7955_CROPED.JPG, path time not found, 0, Auto
779.0, 513.0, 57.0, 103.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7955_CROPED.JPG, path time not found, 1, Auto
963.0, 477.0, 49.0, 118.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7956_CROPED.JPG, path time not found, 0, Auto
779.0, 514.0, 56.0, 101.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7956_CROPED.JPG, path time not found, 1, Auto
963.0, 478.0, 49.0, 118.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7957_CROPED.JPG, path time not found, 0, Auto
781.0, 515.0, 55.0, 99.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7957_CROPED.JPG, path time not found, 1, Auto
963.0, 477.0, 50.0, 121.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7958_CROPED.JPG, path time not found, 0, Auto
779.0, 517.0, 53.0, 97.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7958_CROPED.JPG, path time not found, 1, Auto
963.0, 476.0, 51.0, 123.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7959_CROPED.JPG, path time not found, 0, Auto
779.0, 515.0, 53.0, 97.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7959_CROPED.JPG, path time not found, 1, Auto
964.0, 478.0, 48.0, 116.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7960_CROPED.JPG, path time not found, 0, Auto
