2572, 1760, 61, 89, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2360_CROPED.jpg, path time not found, 0, Start 
3030.0, 1237.0, 60.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2407_CROPED.jpg, path time not found, 0, Auto
3030.0, 1224.0, 60.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2408_CROPED.jpg, path time not found, 0, Auto
3031.0, 1210.0, 60.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2409_CROPED.jpg, path time not found, 0, Auto
3031.0, 1198.0, 60.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2410_CROPED.jpg, path time not found, 0, Auto
3033.0, 1185.0, 60.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2411_CROPED.jpg, path time not found, 0, Auto
3032.0, 1174.0, 60.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2412_CROPED.jpg, path time not found, 0, Auto
3032.0, 1160.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2413_CROPED.jpg, path time not found, 0, Auto
3032.0, 1148.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2414_CROPED.jpg, path time not found, 0, Auto
3032.0, 1135.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2415_CROPED.jpg, path time not found, 0, Auto
3032.0, 1126.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2416_CROPED.jpg, path time not found, 0, Auto
3031.0, 1112.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2417_CROPED.jpg, path time not found, 0, Auto
3031.0, 1102.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2418_CROPED.jpg, path time not found, 0, Auto
3030.0, 1091.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2419_CROPED.jpg, path time not found, 0, Auto
3029.0, 1081.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2420_CROPED.jpg, path time not found, 0, Auto
3030.0, 1070.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2421_CROPED.jpg, path time not found, 0, Auto
3027.0, 1059.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2422_CROPED.jpg, path time not found, 0, Auto
3029.0, 1050.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2423_CROPED.jpg, path time not found, 0, Auto
3026.0, 1040.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2424_CROPED.jpg, path time not found, 0, Auto
3024.0, 1030.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2425_CROPED.jpg, path time not found, 0, Auto
3025.0, 1023.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2426_CROPED.jpg, path time not found, 0, Auto
3024.0, 1015.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2427_CROPED.jpg, path time not found, 0, Auto
3023.0, 1007.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2428_CROPED.jpg, path time not found, 0, Auto
3022.0, 998.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2429_CROPED.jpg, path time not found, 0, Auto
3019.0, 991.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2430_CROPED.jpg, path time not found, 0, Auto
