1535, 1606, 33, 38, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1314.jpg, 08-06 14:10:53, 0, Start 
1479.99, 1605.21, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1540.jpg, 08-06 14:10:19, 0, Auto
1479.75, 1604.16, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1542.jpg, 08-06 14:10:50, 0, Auto
1478.73, 1603.84, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1544.jpg, 08-06 14:09:53, 0, Auto
1479.23, 1604.21, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1546.jpg, 08-06 14:09:53, 0, Auto
1479.41, 1603.67, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1548.jpg, 08-06 14:10:13, 0, Auto
1479.68, 1603.61, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1550.jpg, 08-06 14:10:13, 0, Auto
1478.12, 1603.53, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1552.jpg, 08-06 14:10:27, 0, Auto
1486.38, 1604.09, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1554.jpg, 08-06 14:10:50, 0, Auto
1486.55, 1604.0, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1556.jpg, 08-06 14:10:19, 0, Auto
1484.71, 1604.16, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1558.jpg, 08-06 14:10:13, 0, Auto
1486.32, 1604.71, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1600.jpg, 08-06 14:10:53, 0, Auto
1486.91, 1605.79, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1602.jpg, 08-06 14:10:27, 0, Auto
1486.34, 1605.83, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1604.jpg, 08-06 14:10:27, 0, Auto
1486.39, 1606.52, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1606.jpg, 08-06 14:10:19, 0, Auto
1486.28, 1606.52, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1608.jpg, 08-06 14:10:19, 0, Auto
1485.75, 1606.56, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1610.jpg, 08-06 14:09:53, 0, Auto
1506.38, 1607.92, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1612.jpg, 08-06 14:10:13, 0, Auto
1505.14, 1608.04, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1614.jpg, 08-06 14:10:19, 0, Auto
1504.55, 1606.94, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1616.jpg, 08-06 14:10:50, 0, Auto
1500.86, 1606.85, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1618.jpg, 08-06 14:10:45, 0, Auto
1502.23, 1606.88, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1620.jpg, 08-06 14:10:51, 0, Auto
1501.9, 1606.39, 33.66, 38.76, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1622.jpg, 08-06 14:10:13, 0, Auto
1501.69, 1606.28, 33.66, 38.76, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1624.jpg, 08-06 14:09:53, 0, Auto
1502.2, 1606.31, 33.66, 38.76, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1626.jpg, 08-06 14:10:27, 0, Auto
1503.32, 1606.76, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1628.jpg, 08-06 14:09:53, 0, Auto
1503.88, 1606.63, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1630.jpg, 08-06 14:10:45, 0, Auto
1503.66, 1606.47, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1632.jpg, 07-06 16:59:14, 0, Auto
1503.51, 1606.3, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1634.jpg, 07-06 16:59:23, 0, Auto
1503.47, 1606.29, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1638.jpg, 07-06 16:58:57, 0, Auto
1503.95, 1606.42, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1640.jpg, 07-06 16:59:06, 0, Auto
1504.69, 1606.78, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1642.jpg, 07-06 16:59:42, 0, Auto
1503.73, 1607.62, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1644.jpg, 07-06 16:58:23, 0, Auto
1504.99, 1608.94, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1648.jpg, 07-06 16:58:58, 0, Auto
1506.11, 1609.07, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1650.jpg, 07-06 16:58:12, 0, Auto
1507.22, 1608.82, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1652.jpg, 07-06 16:59:24, 0, Auto
1506.94, 1608.97, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1654.jpg, 07-06 16:59:43, 0, Auto
1507.39, 1609.32, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1656.jpg, 07-06 16:58:34, 0, Auto
